exchange,pairs,route,price,high,low,percentage,absolute
kraken,ltcusd,https://api.cryptowat.ch/markets/kraken/ltcusd,170.19,184.28,163.02,-0.05,-9.82
kraken,ethbtc,https://api.cryptowat.ch/markets/kraken/ethbtc,0.07,0.07,0.07,-0.02,-0.0
kraken,ethusd,https://api.cryptowat.ch/markets/kraken/ethusd,3045.2,3292.1,2952.12,-0.04,-138.79
kraken,etheur,https://api.cryptowat.ch/markets/kraken/etheur,2600,2797.07,2523.4,-0.04,-103.14
kraken,ethcad,https://api.cryptowat.ch/markets/kraken/ethcad,3829.58,4136.88,3713.11,-0.05,-192.04
kraken,ethgbp,https://api.cryptowat.ch/markets/kraken/ethgbp,2212.52,2380.79,2154.78,-0.04,-97.24
kraken,ethjpy,https://api.cryptowat.ch/markets/kraken/ethjpy,333190,359043,324149,-0.04,-15151
kraken,etcbtc,https://api.cryptowat.ch/markets/kraken/etcbtc,0.0,0.0,0.0,-0.06,-0.0
kraken,etceth,https://api.cryptowat.ch/markets/kraken/etceth,0.02,0.02,0.02,-0.04,-0.0
kraken,etcusd,https://api.cryptowat.ch/markets/kraken/etcusd,63.28,71.38,59.72,-0.09,-5.93
kraken,etceur,https://api.cryptowat.ch/markets/kraken/etceur,53.96,60.69,51.03,-0.08,-4.77
kraken,gnobtc,https://api.cryptowat.ch/markets/kraken/gnobtc,0.0,0.0,0.0,-0.01,-0.0
kraken,gnoeth,https://api.cryptowat.ch/markets/kraken/gnoeth,0.07,0.07,0.07,0.0,0.0
kraken,gnousd,https://api.cryptowat.ch/markets/kraken/gnousd,207.01,221.98,205.94,-0.04,-9.39
kraken,gnoeur,https://api.cryptowat.ch/markets/kraken/gnoeur,177.92,189.5,177,-0.03,-5.55
kraken,eoseth,https://api.cryptowat.ch/markets/kraken/eoseth,0.0,0.0,0.0,-0.03,-0.0
kraken,eosbtc,https://api.cryptowat.ch/markets/kraken/eosbtc,0.0,0.0,0.0,-0.06,-0.0
kraken,eoseur,https://api.cryptowat.ch/markets/kraken/eoseur,4.26,4.83,4.05,-0.07,-0.34
kraken,eosusd,https://api.cryptowat.ch/markets/kraken/eosusd,4.99,5.68,4.74,-0.08,-0.42
kraken,mlnbtc,https://api.cryptowat.ch/markets/kraken/mlnbtc,0.0,0.0,0.0,-0.03,-0.0
kraken,mlneth,https://api.cryptowat.ch/markets/kraken/mlneth,0.03,0.03,0.03,-0.02,-0.0
kraken,repeth,https://api.cryptowat.ch/markets/kraken/repeth,0.01,0.01,0.01,0.01,0.0
kraken,repeur,https://api.cryptowat.ch/markets/kraken/repeur,23.37,24.87,22.1,-0.03,-0.77
kraken,repusd,https://api.cryptowat.ch/markets/kraken/repusd,27.4,29.28,25.67,-0.04,-1.13
kraken,repbtc,https://api.cryptowat.ch/markets/kraken/repbtc,0.0,0.0,0.0,-0.01,-0.0
kraken,zeceur,https://api.cryptowat.ch/markets/kraken/zeceur,119.89,135.61,115.0,-0.08,-10.11
kraken,zecusd,https://api.cryptowat.ch/markets/kraken/zecusd,140.7,159.75,135.11,-0.08,-12.1
kraken,zecbtc,https://api.cryptowat.ch/markets/kraken/zecbtc,0.0,0.0,0.0,-0.06,-0.0
